zip_code,zone,city,state,latitude,longitude
02129,6b,CHARLESTOWN,MA,42.38,-71.06
02130,6b,"JAMAICA PLAIN",MA,42.3,-71.11
02131,6b,ROSLINDALE,MA,42.28,-71.13
02132,6b,"WEST ROXBURY",MA,42.28,-71.16
02133,6b,BOSTON,MA,42.35,-71.06
02134,6b,ALLSTON,MA,42.35,-71.13
02135,6b,BRIGHTON,MA,42.35,-71.15
02136,6b,"HYDE PARK",MA,42.26,-71.11
02163,6b,BOSTON,MA,42.35,-71.06
02199,6b,BOSTON,MA,42.35,-71.06
02203,6b,BOSTON,MA,42.35,-71.06
02210,7a,BOSTON,MA,42.35,-71.06
02215,6b,BOSTON,MA,42.35,-71.06
02222,6b,BOSTON,MA,42.35,-71.06
02283,6b,BOSTON,MA,42.35,-71.06
02284,6b,BOSTON,MA,42.35,-71.06
01921,6a,BOXFORD,MA,42.67,-70.98
01505,6a,BOYLSTON,MA,42.35,-71.73
02631,7a,BREWSTER,MA,41.76,-70.08
02324,6b,BRIDGEWATER,MA,41.98,-70.97
02301,6b,BROCKTON,MA,42.08,-71.02
02302,6b,BROCKTON,MA,42.08,-71.02
01506,5b,BROOKFIELD,MA,42.21,-72.1
01803,6a,BURLINGTON,MA,42.5,-71.2
02532,6b,"BUZZARDS BAY",MA,41.75,-70.61
02542,7a,"BUZZARDS BAY",MA,41.75,-70.61
01922,6a,BYFIELD,MA,42.75,-70.93
02138,6b,CAMBRIDGE,MA,42.37,-71.11
02139,6b,CAMBRIDGE,MA,42.37,-71.11
02140,6b,CAMBRIDGE,MA,42.37,-71.11
02141,6b,CAMBRIDGE,MA,42.37,-71.11
02142,6b,CAMBRIDGE,MA,42.37,-71.11
02021,6b,CANTON,MA,42.15,-71.13
01741,6a,CARLISLE,MA,42.53,-71.35
02330,6b,CARVER,MA,41.88,-70.76
02632,7a,CENTERVILLE,MA,41.66,-70.34
01507,6a,CHARLTON,MA,42.13,-71.96
02633,7a,CHATHAM,MA,41.67,-69.96
01824,6a,CHELMSFORD,MA,42.59,-71.36
02535,7a,CHILMARK,MA,41.34,-70.74
01510,6a,CLINTON,MA,42.41,-71.68
02025,6b,COHASSET,MA,42.23,-70.8
01742,6a,CONCORD,MA,42.45,-71.35
02635,7a,COTUIT,MA,41.62,-70.44
02061,6b,NORWELL,MA,42.16,-70.78
02062,6b,NORWOOD,MA,42.18,-71.19
02557,7a,"OAK BLUFFS",MA,41.45,-70.56
02653,7a,ORLEANS,MA,41.79,-70
02655,7a,OSTERVILLE,MA,41.62,-70.38
01540,5b,OXFORD,MA,42.11,-71.87
01960,6b,PEABODY,MA,42.53,-70.97
02359,6b,PEMBROKE,MA,42.06,-70.8
01463,5b,PEPPERELL,MA,42.66,-71.58
02360,6b,PLYMOUTH,MA,41.95,-70.66
02367,6b,PLYMPTON,MA,41.95,-70.81
02559,6b,POCASSET,MA,41.69,-70.63
01541,6a,PRINCETON,MA,42.45,-71.86
02657,7a,PROVINCETOWN,MA,42.06,-70.2
02368,6b,RANDOLPH,MA,42.17,-71.05
01867,6a,READING,MA,42.53,-71.1
01542,6a,ROCHDALE,MA,42.2,-71.9
02370,6b,ROCKLAND,MA,42.13,-70.91
01966,6b,ROCKPORT,MA,42.64,-70.61
01969,6b,ROWLEY,MA,42.71,-70.87
01543,6a,RUTLAND,MA,42.36,-71.95
02562,6b,"SAGAMORE BEACH",MA,41.79,-70.53
01970,6b,SALEM,MA,42.51,-70.9
02563,6b,SANDWICH,MA,41.75,-70.49
02066,6b,SCITUATE,MA,42.18,-70.73
02067,6b,SHARON,MA,42.11,-71.18
01770,6a,SHERBORN,MA,42.23,-71.36
01464,6a,SHIRLEY,MA,42.54,-71.65
01545,6a,SHREWSBURY,MA,42.3,-71.71
01745,6a,FAYVILLE,MA,42.29,-71.5
01772,6a,SOUTHBOROUGH,MA,42.3,-71.51
01550,6a,SOUTHBRIDGE,MA,42.08,-72.03
02659,7a,"SOUTH CHATHAM",MA,41.68,-70.02
02660,7a,"SOUTH DENNIS",MA,41.7,-70.15
02375,6b,"SOUTH EASTON",MA,42.03,-71.1
01560,6a,"SOUTH GRAFTON",MA,42.17,-71.68
01982,6b,"SOUTH HAMILTON",MA,42.62,-70.86
02071,6a,"SOUTH WALPOLE",MA,42.09,-71.27
02664,7a,"SOUTH YARMOUTH",MA,41.67,-70.2
02673,7a,"WEST YARMOUTH",MA,41.65,-70.24
01562,6a,SPENCER,MA,42.24,-71.99
01564,5b,STERLING,MA,42.43,-71.75
02072,6b,STOUGHTON,MA,42.11,-71.1
01775,6a,STOW,MA,42.43,-71.5
01518,6a,FISKDALE,MA,42.12,-72.11
01566,6a,STURBRIDGE,MA,42.09,-72.06
01776,6a,SUDBURY,MA,42.36,-71.4
01590,6a,SUTTON,MA,42.15,-71.76
01468,5b,TEMPLETON,MA,42.55,-72.06
01876,6a,TEWKSBURY,MA,42.61,-71.23
01983,6a,TOPSFIELD,MA,42.63,-70.95
01469,5b,TOWNSEND,MA,42.66,-71.7
01474,5b,"WEST TOWNSEND",MA,42.66,-71.74
01879,6a,TYNGSBORO,MA,42.68,-71.41
01569,6a,UXBRIDGE,MA,42.08,-71.6
02568,7a,"VINEYARD HAVEN",MA,41.45,-70.6
01880,6b,WAKEFIELD,MA,42.5,-71.06
02081,6b,WALPOLE,MA,42.13,-71.24
02571,6b,WAREHAM,MA,41.76,-70.71
01778,6a,WAYLAND,MA,42.36,-71.36
01570,6a,WEBSTER,MA,42.04,-71.87
01571,6a,DUDLEY,MA,42.05,-71.93
02667,7a,WELLFLEET,MA,41.93,-70.03
01923,6b,DANVERS,MA,42.57,-70.95
02026,6b,DEDHAM,MA,42.24,-71.17
02638,7a,DENNIS,MA,41.73,-70.2
02639,7a,"DENNIS PORT",MA,41.66,-70.13
02030,6b,DOVER,MA,42.24,-71.27
01826,6a,DRACUT,MA,42.66,-71.3
01827,5b,DUNSTABLE,MA,42.66,-71.48
02332,6b,DUXBURY,MA,42.04,-70.67
02333,6b,"EAST BRIDGEWATER",MA,42.03,-70.95
01515,5b,"EAST BROOKFIELD",MA,42.22,-72.04
01516,6a,DOUGLAS,MA,42.05,-71.73
02536,7a,"EAST FALMOUTH",MA,41.56,-70.55
02642,7a,EASTHAM,MA,41.83,-69.96
02537,6b,"EAST SANDWICH",MA,41.73,-70.43
02032,6b,"EAST WALPOLE",MA,42.15,-71.21
02538,6b,"EAST WAREHAM",MA,41.77,-70.64
02539,7a,EDGARTOWN,MA,41.38,-70.53
01929,6b,ESSEX,MA,42.63,-70.77
02540,7a,FALMOUTH,MA,41.56,-70.62
02543,7a,"WOODS HOLE",MA,41.52,-70.66
01521,6a,HOLLAND,MA,42.05,-72.15
01420,5b,FITCHBURG,MA,42.58,-71.81
02644,6b,FORESTDALE,MA,41.68,-70.5
02035,6a,FOXBORO,MA,42.06,-71.24
01701,6a,FRAMINGHAM,MA,42.3,-71.43
01702,6a,FRAMINGHAM,MA,42.3,-71.43
02038,6a,FRANKLIN,MA,42.08,-71.38
01440,5b,GARDNER,MA,42.58,-71.98
01930,6b,GLOUCESTER,MA,42.62,-70.66
01519,6a,GRAFTON,MA,42.2,-71.68
01450,5b,GROTON,MA,42.6,-71.57
02338,6b,HALIFAX,MA,41.98,-70.86
02339,6b,HANOVER,MA,42.11,-70.81
02341,6b,HANSON,MA,42.06,-70.85
01451,6a,HARVARD,MA,42.5,-71.58
02645,7a,HARWICH,MA,41.69,-70.07
02646,7a,"HARWICH PORT",MA,41.66,-70.06
01830,6a,HAVERHILL,MA,42.78,-71.08
01832,6a,HAVERHILL,MA,42.78,-71.08
01833,6a,GEORGETOWN,MA,42.73,-70.98
01834,6a,GROVELAND,MA,42.75,-71.03
01835,6a,HAVERHILL,MA,42.78,-71.08
02043,6b,HINGHAM,MA,42.23,-70.88
02343,6b,HOLBROOK,MA,42.14,-71
01520,6a,HOLDEN,MA,42.35,-71.85
01746,6a,HOLLISTON,MA,42.2,-71.43
01747,6a,HOPEDALE,MA,42.12,-71.54
01748,6a,HOPKINTON,MA,42.22,-71.52
01452,5b,HUBBARDSTON,MA,42.48,-72.01
01749,6a,HUDSON,MA,42.39,-71.56
02045,6b,HULL,MA,42.3,-70.9
02601,7a,HYANNIS,MA,41.65,-70.29
01938,6b,IPSWICH,MA,42.67,-70.83
01522,6a,JEFFERSON,MA,42.38,-71.87
01523,6a,LANCASTER,MA,42.45,-71.66
01840,6a,LAWRENCE,MA,42.7,-71.16
01841,6a,LAWRENCE,MA,42.7,-71.16
01843,6a,LAWRENCE,MA,42.7,-71.16
01844,6a,METHUEN,MA,42.71,-71.18
01845,6a,"NORTH ANDOVER",MA,42.7,-71.11
01524,6a,LEICESTER,MA,42.25,-71.9
01453,5b,LEOMINSTER,MA,42.51,-71.77
01773,6a,LINCOLN,MA,42.41,-71.3
01460,6a,LITTLETON,MA,42.53,-71.47
01850,6a,LOWELL,MA,42.63,-71.32
01851,6a,LOWELL,MA,42.63,-71.32
